pays,titre,note,commentaire,dateSejour,situation,dateCommentaire,photo
"Bruxelles, Belgique5 contributions",Expérience positive - Temps d'attente aux attractions sous-estimé,4,Expérience positive - Temps d'attente aux attractions sous-estimé,nov. 2022, En famille,Écrit le 1 décembre 2022,False
1 contribution,très moyen,3,très moyen,nov. 2022, Entre amis,Écrit le 30 novembre 2022,False
France1 contribution,MAGIQUE,5,MAGIQUE,nov. 2022, En couple,Écrit le 30 novembre 2022,False
1 contribution,super parc d'attraction,5,super parc d'attraction,nov. 2022, En famille,Écrit le 30 novembre 2022,False
4 contributions,toujours magique !,5,toujours magique !,nov. 2022, En famille,Écrit le 30 novembre 2022,False
1 contribution,"A FUIR AVEC DES PETITS ENFANTS! Discrimination par l'argent , dédain de ses clients",1,"A FUIR AVEC DES PETITS ENFANTS! Discrimination par l'argent , dédain de ses clients",nov. 2022, En famille,Écrit le 30 novembre 2022,False
"Paris, France3 contributions",La farce de Disneyland ,2,La farce de Disneyland ,,,Écrit le 30 novembre 2022,False
1 contribution,Scandaleux,1,Scandaleux,nov. 2022, En famille,Écrit le 29 novembre 2022,False
"Paris, France2 contributions",DECEPTION,1,DECEPTION,nov. 2022,,Écrit le 28 novembre 2022,False
"Metz, France5 contributions",Excellent,5,Excellent,,,Écrit le 27 novembre 2022,True
1 contribution,Foutage de g****,1,Foutage de g****,nov. 2022, En famille,Écrit le 26 novembre 2022,False
"Cité de Carcassonne, France1 contribution",super séjour à l hotel marvel,5,super séjour à l hotel marvel,nov. 2022, En famille,Écrit le 26 novembre 2022,False
"Saint-Malo, France19 contributions",La magie reste intacte,5,La magie reste intacte,nov. 2022, En famille,Écrit le 25 novembre 2022,True
2 contributions,Magnifiqjue séjour grace à la magie de Noêl,4,Magnifiqjue séjour grace à la magie de Noêl,nov. 2022, Entre amis,Écrit le 25 novembre 2022,False
Ste Cecile Les Vignes2 contributions,Trés bonnes vacances mais...,3,Trés bonnes vacances mais...,nov. 2022, En famille,Écrit le 25 novembre 2022,False
2 contributions,Nulle,1,Nulle,nov. 2022, En famille,Écrit le 25 novembre 2022,True
"Carcassonne, France1 contribution",Toujours plus chère avec moins,3,Toujours plus chère avec moins,nov. 2022, En famille,Écrit le 25 novembre 2022,False
3 contributions,Impression mitigée ...,3,Impression mitigée ...,nov. 2022, En famille,Écrit le 23 novembre 2022,False
3 contributions,"Magnifique parc, billetterie navrante",3,"Magnifique parc, billetterie navrante",nov. 2022,,Écrit le 23 novembre 2022,False
"Reims, France4 contributions",Séjour magique,5,Séjour magique,nov. 2022, En famille,Écrit le 22 novembre 2022,False
"Toronto, Canada56 contributions",Cauchemardesque,1,Cauchemardesque,nov. 2022, En famille,Écrit le 22 novembre 2022,False
1 contribution,Séjour Agréable,4,Séjour Agréable,nov. 2022, Entre amis,Écrit le 22 novembre 2022,False
"Antibes, France28 contributions",Disneyland Paris tout simplement FEERIQUE,5,Disneyland Paris tout simplement FEERIQUE,nov. 2022, Entre amis,Écrit le 21 novembre 2022,False
1 contribution,Une parenthèse enchantée,5,Une parenthèse enchantée,nov. 2022, En famille,Écrit le 21 novembre 2022,False
Perceneige3 contributions,Peut être dernière visite,3,Peut être dernière visite,nov. 2022, En famille,Écrit le 21 novembre 2022,False
1 contribution,Vraiment déçue,2,Vraiment déçue,nov. 2022, En famille,Écrit le 21 novembre 2022,False
3 contributions,Satisfait,4,Satisfait,nov. 2022, En couple,Écrit le 21 novembre 2022,True
2 contributions,Féerique,5,Féerique,nov. 2022, Entre amis,Écrit le 21 novembre 2022,True
1 contribution,C’était magnifique,5,C’était magnifique,nov. 2022, En famille,Écrit le 20 novembre 2022,False
"Pernes-Les-Fontaines, France49 contributions",Très beau mais trop de monde,3,Très beau mais trop de monde,,,Écrit le 19 novembre 2022,True
"Courbevoie, France426 contributions",Magnifique promenade dans des sites magiques,4,Magnifique promenade dans des sites magiques,nov. 2022,,Écrit le 19 novembre 2022,False
2 contributions,Déçue,2,Déçue,nov. 2022, En famille,Écrit le 19 novembre 2022,True
1 contribution,Disneyland,3,Disneyland,nov. 2022, En couple,Écrit le 18 novembre 2022,False
2 contributions,Super journée,4,Super journée,nov. 2022,,Écrit le 18 novembre 2022,False
"Crans-Montana, Suisse128 contributions",Déçue,3,Déçue,,,Écrit le 18 novembre 2022,True
1 contribution,Séjour de 2 jours,3,Séjour de 2 jours,nov. 2022, En famille,Écrit le 17 novembre 2022,False
1 contribution,Où est passé la magie?,1,Où est passé la magie?,nov. 2022, En famille,Écrit le 16 novembre 2022,True
2 contributions,décevant,2,décevant,nov. 2022, En famille,Écrit le 16 novembre 2022,False
gerberoy2 contributions,LAISSER VOTRE HANDICAP A LA MAISON DISNEYLAND N EN VEUX PAS,1,LAISSER VOTRE HANDICAP A LA MAISON DISNEYLAND N EN VEUX PAS,oct. 2022,,Écrit le 15 novembre 2022,False
"Vesoul, France1 contribution","L'argent, l'argent et... l'argent",1,"L'argent, l'argent et... l'argent",oct. 2022,,Écrit le 14 novembre 2022,False
"Paris, France4 contributions",Honteux,1,Honteux,nov. 2022,,Écrit le 14 novembre 2022,False
"Plaisir, France33 contributions",Grosse déception.. ,2,Grosse déception.. ,,,Écrit le 14 novembre 2022,False
"Villerest, France25 contributions",10ème séjour,3,10ème séjour,nov. 2022, En famille,Écrit le 14 novembre 2022,False
14 contributions,week end magique,5,week end magique,nov. 2022, En couple,Écrit le 14 novembre 2022,False
4 contributions,Je n'y retournerai plus,2,Je n'y retournerai plus,oct. 2022,,Écrit le 13 novembre 2022,False
9 contributions,Fortement decue,3,Fortement decue,nov. 2022, En famille,Écrit le 13 novembre 2022,False
"La Rochelle, France9 contributions",Toujours magique,5,Toujours magique,oct. 2022,,Écrit le 13 novembre 2022,False
11 contributions,Adieu la magie,2,Adieu la magie,nov. 2022,,Écrit le 11 novembre 2022,False
"Paris, France1 contribution",Extrêmement déçue,1,Extrêmement déçue,oct. 2022, En famille,Écrit le 10 novembre 2022,False
"Juan-les-Pins, France38 contributions",La magie n’opère plus,3,La magie n’opère plus,nov. 2022, En famille,Écrit le 9 novembre 2022,True
"Locmaria-Plouzané, France11 contributions",Séjour au top !,5,Séjour au top !,oct. 2022,,Écrit le 8 novembre 2022,False
Bruxelles8 contributions,Trop de temps d'attente.,3,Trop de temps d'attente.,nov. 2022, En famille,Écrit le 7 novembre 2022,False
"Publier, France1 contribution",Disney peut mieux faire,2,Disney peut mieux faire,nov. 2022, En couple,Écrit le 7 novembre 2022,False
Luxembourg4 contributions,Énormément de problèmes avec les terminaux de payement.,3,Énormément de problèmes avec les terminaux de payement.,,,Écrit le 7 novembre 2022,False
1 contribution,Séjour Halloween,3,Séjour Halloween,oct. 2022, En famille,Écrit le 7 novembre 2022,False
3 contributions,Première visite pour notre fille de  5 ans,4,Première visite pour notre fille de  5 ans,nov. 2022,,Écrit le 6 novembre 2022,True
"Labourse, France35 contributions",Haut vol en bande organisée,1,Haut vol en bande organisée,août 2022,,Écrit le 6 novembre 2022,False
4 contributions,Nouveau passage,3,Nouveau passage,oct. 2022, En couple,Écrit le 6 novembre 2022,False
"Gap, France14 contributions",Déception totale,1,Déception totale,,,Écrit le 5 novembre 2022,False
3 contributions,Mitigé,3,Mitigé,nov. 2022, En famille,Écrit le 5 novembre 2022,False
"Caen, France4 contributions",poussette volée au parc Disney,1,poussette volée au parc Disney,nov. 2022,,Écrit le 5 novembre 2022,False
"La Louviere, Belgique10 contributions",magique,5,magique,nov. 2022, En famille,Écrit le 5 novembre 2022,False
1 contribution,Magique et hautement fréquenté,4,Magique et hautement fréquenté,nov. 2022, En famille,Écrit le 5 novembre 2022,False
"Rouen, France1 contribution",Honteux,1,Honteux,oct. 2022, En famille,Écrit le 5 novembre 2022,False
"Gourdan-Polignan, France42 contributions",Correct mais sur la mauvaise pente,4,Correct mais sur la mauvaise pente,nov. 2022,,Écrit le 5 novembre 2022,False
3 contributions,Recommande,5,Recommande,nov. 2022, En famille,Écrit le 4 novembre 2022,False
MONTENOIS1 contribution,Trop d’attente,2,Trop d’attente,nov. 2022, En famille,Écrit le 4 novembre 2022,False
1 contribution,Toujours aussi magique,5,Toujours aussi magique,nov. 2022, En solo,Écrit le 4 novembre 2022,False
Caen2 contributions,Très  déçu de la chambre à ce prix,2,Très  déçu de la chambre à ce prix,oct. 2022, En famille,Écrit le 4 novembre 2022,True
